amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-3192700-2607008	249-3192700-2607008	2024-05-31T23:33:47+09:00	2024-06-01T14:21:06+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2999.0	273.0							,	岐阜県	506-0007	JP	
249-8398655-3448611	249-8398655-3448611	2024-05-31T22:38:22+09:00	2024-06-01T14:59:56+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								香川県	769-2705	JP	
503-8414940-4121454	503-8414940-4121454	2024-05-31T22:28:16+09:00	2024-06-01T15:55:13+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								埼玉県	350-1312	JP	
249-7954429-4668614	249-7954429-4668614	2024-05-31T19:31:16+09:00	2024-06-01T15:00:53+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								岡山県	710-0023	JP	
249-7719164-5610200	249-7719164-5610200	2024-05-31T17:58:43+09:00	2024-06-01T17:33:31+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								宮城県	989-2474	JP	
503-1606723-7715840	503-1606723-7715840	2024-05-31T17:02:27+09:00	2024-06-01T15:00:31+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								福岡県	800-0352	JP	
503-7404054-5951803	503-7404054-5951803	2024-05-31T13:24:28+09:00	2024-06-01T15:51:44+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								東京都	154-0011	JP	
249-9167648-5775022	249-9167648-5775022	2024-05-31T11:17:24+09:00	2024-06-01T14:59:33+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								愛知県	462-0056	JP	
249-3957419-9040633	249-3957419-9040633	2024-05-31T09:23:34+09:00	2024-06-01T19:06:20+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								山口県	759-6533	JP	
249-6130434-3915011	249-6130434-3915011	2024-05-31T06:41:25+09:00	2024-05-31T16:05:37+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								東京都	165-0025	JP	
249-2243215-3373469	249-2243215-3373469	2024-05-30T22:57:09+09:00	2024-05-31T08:35:11+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2999.0	273.0								東京都	135-0016	JP	
250-7256182-0671869	250-7256182-0671869	2024-05-30T21:48:41+09:00	2024-05-31T15:53:07+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								神奈川県	235-0015	JP	
249-7254476-7836622	249-7254476-7836622	2024-05-30T20:48:48+09:00	2024-05-31T15:52:06+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								東京都	110-0003	JP	
503-9844159-3625420	503-9844159-3625420	2024-05-30T20:24:44+09:00	2024-05-31T15:51:59+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								埼玉県	359-0023	JP	
249-9851426-8511037	249-9851426-8511037	2024-05-30T19:38:28+09:00	2024-05-31T05:08:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								東京都	165-0021	JP	
503-3069568-3302219	503-3069568-3302219	2024-05-30T10:19:22+09:00	2024-05-30T23:14:08+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER メンズシェーバー バリカン メンズ 鼻毛カッター ヒゲトリマー 眉毛シェーバー シェーバー メンズ 髭剃 	MB-990RT	B0BL2YWH3N	Shipped	1	JPY	5249.0	477.0								東京都	165-0024	JP	
250-7902554-0771839	250-7902554-0771839	2024-05-30T08:35:44+09:00	2024-05-30T13:50:55+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								兵庫県	655-0873	JP	
250-9798863-8559044	250-9798863-8559044	2024-05-29T22:25:17+09:00	2024-05-30T17:46:48+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER 犬爪切り電動 犬 犬の爪切り電動 つめやすり 電動 爪切り 犬 つめきり 初心者 電動爪やすり 犬用爪やすり	MB-011/FBA	B083BL3GBV	Shipped	2	JPY	5400.0	491.0								富山県	939-8271	JP	
249-2471387-8079039	249-2471387-8079039	2024-05-29T21:50:46+09:00	2024-05-30T18:00:48+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER 犬爪切り電動 犬 犬の爪切り電動 つめやすり 電動 爪切り 犬 つめきり 初心者 電動爪やすり 犬用爪やすり	MB-011/FBA	B083BL3GBV	Shipped	1	JPY	2699.0	245.0								広島県	730-0843	JP	
249-0366946-9679878	249-0366946-9679878	2024-05-29T20:51:41+09:00	2024-05-30T16:06:05+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	205.0	410.0	37.0						千葉県	270-0228	JP	
249-9924757-0532644	249-9924757-0532644	2024-05-29T19:06:52+09:00	2024-05-29T22:34:05+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								大阪府	556-0022	JP	
249-8616069-6881418	249-8616069-6881418	2024-05-29T19:02:17+09:00	2024-05-29T22:34:20+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								京都府	620-0017	JP	
503-7033016-2027054	503-7033016-2027054	2024-05-29T18:46:42+09:00	2024-05-30T17:24:05+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								北海道	050-0054	JP	
249-7037697-4764650	249-7037697-4764650	2024-05-29T18:25:44+09:00	2024-05-30T00:10:43+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								神奈川県	232-0073	JP	
249-4726303-6433444	249-4726303-6433444	2024-05-29T13:10:20+09:00	2024-05-30T11:52:46+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER(アーバナー) 猫用爪切り 猫 小型 犬 用 爪 切り ペット 猫 犬 用 爪 切り 安全 カッター 猫 爪 切り 小型 犬	CT-21/FBA	B099MKPRHP	Shipped	5	JPY	9485.0	863.0	410.0	37.0				410.0	網走郡美幌町字青山北	北海道	092-0066	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-9581814-6751857	503-9581814-6751857	2024-05-29T12:38:47+09:00	2024-05-29T15:45:07+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								神奈川県	249-0006	JP	
250-7826936-6567042	250-7826936-6567042	2024-05-29T11:53:24+09:00	2024-06-04T18:39:23+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2999.0	273.0	137.0	12.0				137.0		大阪府	569-0814	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-7928158-9515854	503-7928158-9515854	2024-05-29T10:51:44+09:00	2024-05-29T16:08:00+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								東京都	142-0053	JP	
250-1525144-1118260	250-1525144-1118260	2024-05-29T09:38:35+09:00	2024-05-29T18:16:03+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								茨城県	300-2641	JP	
250-1594752-8482224	250-1594752-8482224	2024-05-29T07:03:23+09:00	2024-05-29T18:16:53+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー フェイスシェーバー メンズ 産毛 シェーバー 眉毛剃り 電動 眉シェーバー 眉毛カッター まゆ 	MB-062JP	B07CYQVK16	Shipped	1	JPY	2268.0	206.0								静岡県	424-0831	JP	
249-3426947-5730262	249-3426947-5730262	2024-05-28T23:39:19+09:00	2024-05-29T06:29:34+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2999.0	273.0								茨城県	311-1403	JP	
250-3613037-7526229	250-3613037-7526229	2024-05-28T22:10:25+09:00	2024-05-29T13:12:51+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								大阪府	563-0029	JP	
250-3956579-6541462	250-3956579-6541462	2024-05-28T22:09:02+09:00	2024-05-29T06:22:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0							,	群馬県	373-0818	JP	
250-6489201-6007037	250-6489201-6007037	2024-05-28T21:34:11+09:00	2024-05-29T06:12:43+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER メンズシェーバー バリカン メンズ 鼻毛カッター ヒゲトリマー 眉毛シェーバー シェーバー メンズ 髭剃 	MB-990RT	B0BL2YWH3N	Shipped	1	JPY	5249.0	477.0								茨城県	311-1244	JP	
250-9069770-0275828	250-9069770-0275828	2024-05-28T21:18:19+09:00	2024-05-29T05:58:52+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2999.0	273.0								愛知県	491-0135	JP	
250-9379740-7668615	250-9379740-7668615	2024-05-28T19:50:04+09:00	2024-06-03T00:09:00+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0	205.0	19.0				205.0		山形県	990-0894	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-4915031-8404608	250-4915031-8404608	2024-05-28T19:25:50+09:00	2024-05-30T10:45:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								沖縄県	900-0016	JP	
249-3158100-4614220	249-3158100-4614220	2024-05-28T15:46:55+09:00	2024-05-30T15:43:15+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2999.0	273.0								東京都	116-0011	JP	
250-2766106-0756632	250-2766106-0756632	2024-05-28T15:26:33+09:00	2024-05-29T01:01:41+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER メンズシェーバー バリカン メンズ 鼻毛カッター ヒゲトリマー 眉毛シェーバー シェーバー メンズ 髭剃 	MB-990RT	B0BL2YWH3N	Shipped	1	JPY	5249.0	477.0								大阪府	534-0024	JP	
249-5215165-9711853	249-5215165-9711853	2024-05-28T14:06:28+09:00	2024-05-29T22:32:12+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	205.0	510.0	46.0						兵庫県	651-2133	JP	
250-3034673-1587057	250-3034673-1587057	2024-05-28T13:00:43+09:00	2024-05-29T18:22:28+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANERアーバナー 顔剃り レディース フェイスシェーバー レディース かおそり 電動女性用 産毛 まゆ毛 うぶ毛  	MB-052	B08RBRSW72	Shipped	4	JPY	10100.0	918.0	328.0	30.0				328.0		愛知県	448-0857	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-3146698-6645412	249-3146698-6645412	2024-05-28T12:01:20+09:00	2024-05-28T17:15:59+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								福島県	963-1155	JP	
250-5186586-5561452	250-5186586-5561452	2024-05-28T11:43:50+09:00	2024-05-29T00:10:18+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2249.0	204.0								神奈川県	251-0042	JP	
