amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-3034306-2980620	249-3034306-2980620	2023-04-30T22:29:29+09:00	2023-05-01T12:15:18+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								神奈川県	252-0301	JP	
503-7239960-5780636	503-7239960-5780636	2023-04-30T20:58:39+09:00	2023-05-01T06:28:14+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								埼玉県	351-0005	JP	
250-9960432-3002257	250-9960432-3002257	2023-04-30T20:41:38+09:00	2023-05-01T01:41:28+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								愛知県	441-8011	JP	
250-1371846-6084615	250-1371846-6084615	2023-04-30T20:01:48+09:00	2023-05-01T17:47:13+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER(アーバナー) 電気メンズシェーバー 電動髭剃り ひげそり カミソリ ミニサイズ 携帯用髭剃り 電池式モバ 	MB-043/FBA	B07CYSTJPP	Shipped	1	JPY	2903.0	264.0	136.0	12.0				136.0		東京都	162-0805	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-6336992-3841439	249-6336992-3841439	2023-04-30T19:18:38+09:00	2023-05-01T04:41:06+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ４In１メンズシェーバーセット / 360度洗浄設計の鼻毛カッター 耳毛 鼻毛カッター もみあげシ	MB-990RT	B0BL2YWH3N	Shipped	1	JPY	6999.0	636.0					700.0			埼玉県	359-0023	JP	VPC-6-17814553 Coupon
503-9728611-7508640	503-9728611-7508640	2023-04-30T18:42:19+09:00	2023-05-01T06:23:49+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Cancelled	0											青森県	033-0011	JP	
249-3542191-4311063	249-3542191-4311063	2023-04-30T17:29:41+09:00	2023-05-01T14:25:58+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペット用 電動犬爪トリマー usb充電式 犬ネイルトリマー 犬の電動爪やすり 犬専用 スピード 	MB-011/FBA	B083BL3GBV	Shipped	1	JPY	3739.0	340.0					374.0			北海道	085-0215	JP	VPC-6-17814553 Coupon
503-3422661-3894260	503-3422661-3894260	2023-04-30T17:27:58+09:00	2023-05-01T18:28:05+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 猫用爪切り 猫 小型 犬 用 爪 切り ペット 猫 犬 用 爪 切り 安全 カッター 猫 爪 切り 小型 犬	CT-21/FBA	B099MKPRHP	Shipped	1	JPY	2529.0	230.0					253.0			大阪府	550-0002	JP	VPC-6-17814553 Coupon
503-7778125-2147804	503-7778125-2147804	2023-04-30T16:30:48+09:00	2023-05-01T12:17:47+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 鼻毛・耳毛カッター 電動式カッター はな・みみげカッター 鼻毛シェーバー ノーズトリマー	MB-041/FBA	B07CYZP82Q	Shipped	1	JPY	2749.0	250.0								埼玉県	334-0056	JP	
249-3654104-5895059	249-3654104-5895059	2023-04-30T16:27:33+09:00	2023-05-01T06:37:40+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0					275.0			神奈川県	231-0058	JP	VPC-6-17814553 Coupon
