amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-9587454-2435043	249-9587454-2435043	2023-01-31T23:23:23+09:00	2023-02-01T10:46:48+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペン型眉毛シェーバー レディース 眉毛カッター フェイスシェーバー 眉毛 産毛 うぶ毛 まゆ 	MB-052	B08RBRSW72	Shipped	1	JPY	3060.0	278.0								千葉県	262-0019	JP	
249-3046551-5631852	249-3046551-5631852	2023-01-31T19:30:07+09:00	2023-02-01T01:16:03+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペット用爪切り 猫 小型 中型 犬 用 爪切り ペット 用 爪 切り はさみ ネイルトリマー 安全留 	CT-20/FBA	B07SHFY8BL	Shipped	1	JPY	2529.0	230.0								神奈川県	254-0014	JP	
249-8405244-8639060	249-8405244-8639060	2023-01-31T19:18:29+09:00	2023-02-02T06:31:55+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 家庭用電動バリカン こどもヘアカッター 子供用バリカン セルフヘアーカッター ヘアカット	MB-034JP	B0BRKZ3R86	Shipped	1	JPY	3399.0	309.0	128.0	12.0						岐阜県	509-0206	JP	
503-2302386-1836666	503-2302386-1836666	2023-01-31T19:11:44+09:00	2023-01-31T22:18:52+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 電動水洗い式フェイスシェーバー 眉毛シェーバー 眉毛カッター エチケットシェーバー 眉毛 	MB-062JP	B07CYQVK16	Shipped	1	JPY	2749.0	250.0								兵庫県	651-1141	JP	
503-6313158-5884653	503-6313158-5884653	2023-01-31T17:21:32+09:00	2023-02-01T17:49:02+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER(アーバナー) ペット用 電動犬爪トリマー usb充電式 犬ネイルトリマー 犬の電動爪やすり 犬専用 スピード 	MB-011/FBA	B083BL3GBV	Shipped	1	JPY	3739.0	340.0								熊本県	861-4117	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
250-1681852-6128651	250-1681852-6128651	2023-01-31T17:13:43+09:00	2023-01-31T21:19:59+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 男性用 メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー  	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	3999.0	364.0								山口県	750-0317	JP	
250-0344308-3936616	250-0344308-3936616	2023-01-31T16:31:06+09:00	2023-01-31T22:50:37+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペット用 電動犬爪トリマー usb充電式 犬ネイルトリマー 犬の電動爪やすり 犬専用 スピード 	MB-011/FBA	B083BL3GBV	Shipped	1	JPY	3739.0	340.0								東京都	160-0023	JP	
503-5224150-4992617	503-5224150-4992617	2023-01-31T16:09:00+09:00	2023-01-31T21:58:36+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペット用 猫 犬用トリミング ミニバリカン 足裏タイプ ペット用ミニ電動トリマー 低騒音と 	MB-021	B08RB18XJ7	Shipped	1	JPY	3992.0	363.0								大阪府	560-0055	JP	
503-5224150-4992617	503-5224150-4992617	2023-01-31T16:09:00+09:00	2023-01-31T21:58:36+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペット用 電動犬爪トリマー usb充電式 犬ネイルトリマー 犬の電動爪やすり 犬専用 スピード 	MB-011/FBA	B083BL3GBV	Shipped	1	JPY	3739.0	340.0								大阪府	560-0055	JP	
503-3464126-3740619	503-3464126-3740619	2023-01-31T14:57:44+09:00	2023-01-31T18:24:12+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペット用爪切り 猫 小型 中型 犬 用 爪切り ペット 用 爪 切り はさみ ネイルトリマー 安全留 	CT-20/FBA	B07SHFY8BL	Shipped	1	JPY	2529.0	230.0								千葉県	273-0047	JP	
250-1265299-8042268	250-1265299-8042268	2023-01-31T13:39:24+09:00	2023-02-01T00:12:41+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								新潟県	950-0075	JP	
249-8497409-1587809	249-8497409-1587809	2023-01-31T13:08:23+09:00	2023-01-31T16:53:06+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 電動水洗い式フェイスシェーバー 眉毛シェーバー 眉毛カッター エチケットシェーバー 眉毛 	MB-062JP	B07CYQVK16	Shipped	1	JPY	2749.0	250.0								神奈川県	242-0024	JP	
250-7703924-3122237	250-7703924-3122237	2023-01-31T11:46:38+09:00	2023-01-31T22:42:57+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペン型眉毛シェーバー レディース 眉毛カッター フェイスシェーバー 眉毛 産毛 うぶ毛 まゆ 	MB-052	B08RBRSW72	Shipped	1	JPY	3060.0	278.0								神奈川県	251-0045	JP	
249-7444126-4961451	249-7444126-4961451	2023-01-31T09:30:51+09:00	2023-01-31T12:18:46+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								大阪府	596-0113	JP	
249-0440899-7988624	249-0440899-7988624	2023-01-31T09:09:58+09:00	2023-02-07T00:37:13+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER(アーバナー) USB充電水洗式電動シェーバー メンズシェーバー 電気シェーバー もみあげシェーバー ひげそ 	MB-343/FBA	B087WLFLXF	Shipped	1	JPY	3849.0	350.0	410.0	37.0				410.0		神奈川県	220-0046	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
503-4548585-4640635	503-4548585-4640635	2023-01-31T08:09:32+09:00	2023-01-31T18:26:59+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペット スリッカーブラシ 小型犬 毛取り 猫 ブラシ ワンプッシュで抜け毛除去 犬 猫用 セル 	CT-32/FBA	B07SGC4979	Shipped	1	JPY	2749.0	250.0								三重県	510-1311	JP	
503-3537445-3179850	503-3537445-3179850	2023-01-31T08:05:40+09:00	2023-01-31T17:50:14+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 電動水洗い式フェイスシェーバー 眉毛シェーバー 眉毛カッター エチケットシェーバー 眉毛 	MB-062JP	B07CYQVK16	Shipped	1	JPY	2749.0	250.0								愛知県	460-0007	JP	
