amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
249-5903248-4699867	249-5903248-4699867	2023-06-30T22:59:26+09:00	2023-07-01T06:11:24+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								大阪府	573-0046	JP	
249-0045530-1949477	249-0045530-1949477	2023-06-30T22:41:36+09:00	2023-07-01T12:29:29+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー ペット用爪切り 初心者 犬 爪切り 犬 猫 爪切り 猫 ペット 爪切り 鳥 爪切り 犬 つめきり 小型 	CT-20/FBA	B07SHFY8BL	Shipped	1	JPY	2782.0	253.0								福岡県	807-0857	JP	
249-9318923-0539029	249-9318923-0539029	2023-06-30T21:47:14+09:00	2023-07-02T04:33:27+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								神奈川県	252-0301	JP	
503-4851506-2770232	503-4851506-2770232	2023-06-30T20:44:22+09:00	2023-07-01T16:43:52+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER(アーバナー) ペン型眉毛シェーバー レディース 眉毛カッター フェイスシェーバー 眉毛 産毛 うぶ毛 まゆ 	MB-052	B08RBRSW72	Shipped	1	JPY	3366.0	306.0	137.0	12.0				137.0		大阪府	566-0053	JP	JP Core Free Shipping  2016/03/29 6-38-40-593
249-0481175-6443057	249-0481175-6443057	2023-06-30T18:57:37+09:00	2023-06-30T22:49:28+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ４In１メンズシェーバーセット / 360度洗浄設計の鼻毛カッター 耳毛 鼻毛カッター もみあげシ	MB-990RT	B0BL2YWH3N	Shipped	1	JPY	6999.0	636.0								新潟県	950-1111	JP	
250-1720708-4687807	250-1720708-4687807	2023-06-30T16:51:59+09:00	2023-07-01T01:03:34+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 電動水洗い式フェイスシェーバー 眉毛シェーバー 眉毛カッター エチケットシェーバー 眉毛 	MB-062JP	B07CYQVK16	Shipped	1	JPY	3024.0	275.0								東京都	123-0855	JP	
503-8064259-4539843	503-8064259-4539843	2023-06-30T16:04:57+09:00	2023-06-30T17:46:14+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								長野県	391-0100	JP	
503-7454561-2931837	503-7454561-2931837	2023-06-30T13:10:18+09:00	2023-07-01T05:45:50+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー ペット用爪切り 初心者 犬 爪切り 犬 猫 爪切り 猫 ペット 爪切り 鳥 爪切り 犬 つめきり 小型 	CT-20/FBA	B07SHFY8BL	Shipped	1	JPY	2782.0	253.0					139.0			三重県	510-0023	JP	VPC-6-23638205 Coupon
503-9751572-0613421	503-9751572-0613421	2023-06-30T12:51:39+09:00	2023-07-01T00:11:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ペット スリッカーブラシ 小型犬 毛取り 猫 ブラシ ワンプッシュで抜け毛除去 犬 猫用 セル 	CT-32/FBA	B07SGC4979	Shipped	1	JPY	3024.0	275.0								新潟県	940-0021	JP	
503-6445824-2194261	503-6445824-2194261	2023-06-30T11:47:04+09:00	2023-06-30T17:01:37+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								愛知県	466-0827	JP	
249-5775004-3988653	249-5775004-3988653	2023-06-30T10:55:08+09:00	2023-06-30T23:30:06+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) エチケットカッター メンズ 鼻毛カッター ノーズトリマー はな毛カッター 男性 はなげきり  	MB-051/FBA	B07CYTMPRM	Shipped	1	JPY	2749.0	250.0								東京都	124-0006	JP	
503-8337485-9922232	503-8337485-9922232	2023-06-30T10:50:32+09:00	2023-07-01T18:03:29+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								福岡県	810-0044	JP	
250-3207203-9658243	250-3207203-9658243	2023-06-29T23:23:54+09:00	2023-07-02T17:46:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) ヒゲトリマー バリカン メンズ ひげそり 髭剃 髭トリマー 5段階の長さを自由に決め 日本製Mab	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2749.0	250.0								東京都	133-0073	JP	
503-4676063-0204643	503-4676063-0204643	2023-06-29T22:40:03+09:00	2023-06-29T22:41:33+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 電動水洗い式フェイスシェーバー 眉毛シェーバー 眉毛カッター エチケットシェーバー 眉毛 	MB-062JP	B07CYQVK16	Cancelled	0											福岡県	810-0055	JP	
503-0302129-8080611	503-0302129-8080611	2023-06-29T18:30:38+09:00	2023-06-30T00:26:07+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER(アーバナー) 男性用 メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー  	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	3999.0	364.0								愛知県	464-0065	JP	
