amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
503-9917668-8696617	503-9917668-8696617	2024-11-30T23:56:36+09:00	2024-12-04T19:04:07+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								愛知県	464-0031	JP	
249-4037631-9775852	249-4037631-9775852	2024-11-30T23:35:59+09:00	2024-12-03T17:18:32+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER メンズシェーバー バリカン メンズ 鼻毛カッター ヒゲトリマー 眉毛シェーバー シェーバー メンズ 髭剃 	MB-990RT	B0BL2YWH3N	Shipped	1	JPY	4899.0	445.0								東京都	153-0064	JP	
503-0017799-1229454	503-0017799-1229454	2024-11-30T23:13:05+09:00	2024-12-03T17:32:51+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0							,	東京都	167-0033	JP	
249-1747527-6495059	249-1747527-6495059	2024-11-30T23:04:30+09:00	2024-12-08T09:33:03+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2799.0	254.0								徳島県	772-0034	JP	
249-6522886-2625400	249-6522886-2625400	2024-11-30T22:57:16+09:00	2024-12-04T05:37:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								東京都	164-0011	JP	
249-3686303-9836604	249-3686303-9836604	2024-11-30T22:49:34+09:00	2024-12-03T06:27:06+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2799.0	254.0								東京都	157-0066	JP	
249-4209260-7011822	249-4209260-7011822	2024-11-30T22:24:20+09:00	2024-12-03T18:49:10+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								愛知県	481-0035	JP	
250-1640339-6658233	250-1640339-6658233	2024-11-30T21:38:24+09:00	2024-12-03T17:17:56+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2799.0	254.0								大阪府	560-0055	JP	
503-3151194-0809433	503-3151194-0809433	2024-11-30T21:31:03+09:00	2024-12-03T17:34:41+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								東京都	192-0375	JP	
249-8243477-9135008	249-8243477-9135008	2024-11-30T21:28:00+09:00	2024-12-04T17:15:58+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2799.0	254.0							江東区	東京都	135-0015	JP	
249-3166280-1484652	249-3166280-1484652	2024-11-30T21:10:54+09:00	2024-12-03T05:16:42+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								東京都	173-0026	JP	
249-1181643-9363064	249-1181643-9363064	2024-11-30T21:06:56+09:00	2024-12-19T00:31:29+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								東京都	179-0074	JP	
250-1445349-7081450	250-1445349-7081450	2024-11-30T21:05:39+09:00	2024-12-03T18:54:21+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								大分県	876-0833	JP	
250-4543803-0510222	250-4543803-0510222	2024-11-30T20:56:32+09:00	2024-12-06T16:20:03+09:00	Cancelled	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Cancelled	0											大阪府	590-0115	JP	
250-6754349-0849421	250-6754349-0849421	2024-11-30T20:48:31+09:00	2024-12-03T18:27:46+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								山梨県	409-0112	JP	
250-0389528-1119845	250-0389528-1119845	2024-11-30T20:48:29+09:00	2024-12-03T21:37:59+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								群馬県	376-0101	JP	
503-4671191-5739829	503-4671191-5739829	2024-11-30T20:36:40+09:00	2024-12-07T17:29:23+09:00	Shipped	Amazon	Amazon.co.jp			Standard	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0	460.0	42.0						兵庫県	670-0893	JP	
250-6300727-9947804	250-6300727-9947804	2024-11-30T20:31:47+09:00	2024-12-03T15:42:05+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER ヒゲトリマー 髭 バリカン 2024 IPX8防水 メンズ 髭剃り 電池式バリカン 使いやすく 小型で持ち運び ミニバ 	MB-042/FBA	B07CYZH2XC	Shipped	1	JPY	2099.0	191.0								京都府	612-8496	JP	
250-0685492-5686266	250-0685492-5686266	2024-11-30T19:33:37+09:00	2024-12-04T22:10:09+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANERアーバナー メンズシェーバー 3アタッチメントセット / 耳毛 鼻毛カッター もみあげシェーバー 髭トリマ 	MB-980/FBA	B07CZ3KDN9	Shipped	1	JPY	2799.0	254.0								北海道	041-0851	JP	
249-0282089-6223872	249-0282089-6223872	2024-11-30T18:54:23+09:00	2024-12-03T12:42:19+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	URBANER メンズシェーバー バリカン メンズ 鼻毛カッター ヒゲトリマー 眉毛シェーバー シェーバー メンズ 髭剃 	MB-990RT	B0BL2YWH3N	Shipped	1	JPY	4899.0	445.0								広島県	737-0001	JP	
